GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
frontend,no.cmarker.frontend.controller,BookController,4,39,0,0,1,13,1,9,1,9
frontend,no.cmarker.frontend.controller,SignUpController,1,78,1,3,1,25,1,11,0,10
frontend,no.cmarker.frontend.controller,UserInfoController,0,44,0,0,0,9,0,5,0,5
frontend,no.cmarker.frontend.controller,MessageController,3,79,0,0,2,24,0,11,0,11
frontend,no.cmarker.frontend.controller,BookPostController,4,115,1,7,2,27,2,13,1,10
frontend,no.cmarker,Application,5,3,0,0,2,1,1,1,1,1
frontend,no.cmarker.frontend,WebSecurityConfig,12,94,0,0,4,26,0,4,0,4
frontend,no.cmarker.frontend,RedirectForwardHandler,0,5,0,0,0,2,0,2,0,2
